PUBLICATION,GAME
BAFTA,MediEvil 2
BAFTA,Pokemon Yellow
BAFTA,Deus Ex
D.I.C.E. Awards,Diablo II
Game Developers Choice Awards,The Sims
VSDA Awards,Pokemon Stadium
Japan Game Awards,Phantasy Star Online
GameSpot,Chrono Cross
GameSpot,The Sims
EGM,Tony Hawk's Pro Skater 2
EGM,Tony Hawk's Pro Skater 2 (Game Boy)
ArsTechnica,Deus Ex
Japan Media Arts Festival,Dragon Quest VII
