RANK,GAME,NOTES
25,Unpacking,
24,The Forgotten City,
23,Death’s Door,
22,Wildermyth,
21,Monster Hunter Rise,
20,Eastward,
19,The Artful Escape,
18,Solar Ash,
17,Age of Empires 4,
16,Far Cry 6,
15,Forza Horizon 5,
14,Metroid Dread,
13,Returnal,
12,Kena: Bridge of Spirits,
11,Life is Strange: True Colors,
10,Marvel’s Guardians of the Galaxy,
9,Valheim,
8,It Takes Two,
7,Resident Evil Village,
6,Chicory: A Colorful Tale,
5,Halo Infinite,
4,Hitman 3,
3,Psychonauts 2,
2,Ratchet & Clank: Rift Apart,
1,Deathloop,
