RANK,GAME,NOTES
10,NBA 2K3,
9,Castlevania: Harmony of Dissonance,
8,Grand Theft Auto: Vice City,
7,Tony Hawk's Pro Skater 4,
6,The Legend of Zelda: A Link to the Past,*GBA version
5,Metal Gear Solid 2: Sons of Liberty,*Substance version
4,Super Mario Sunshine,
3,NCAA Football 2003,
2,Animal Crossing,
1,Metroid Prime,
