PUBLICATION,GAME,
Destructoid,BioShock,
GameTrailers,Super Mario Galaxy,
Edge,Super Mario Galaxy,
Famitsu,Super Mario Galaxy,
Famitsu,Monster Hunter Portable 2nd,
GameSpot,Super Mario Galaxy,
IGN,Super Mario Galaxy,
Golden Joystick Awards,Gears of War,
Game Developers Choice Awards,Portal,
Game Awards,BioShock,
D.I.C.E. Awards,Call of Duty 4: Modern Warfare,
BAFTA ,BioShock,
Japan Game Awards,Wii Sports,
Japan Game Awards,Monster Hunter Portable 2nd,
GamesRadar+,Half-Life 2,*The Orange Box
GamesRadar+,Half-Life 2: Episode One,
GamesRadar+,Half-Life 2: Episode Two,
GamesRadar+,Portal,
GamesRadar+,Team Fortress 2,
X-Play,BioShock,
EGM,BioShock,
Shacknews,Portal,
ArsTechnica,Mass Effect,
Game Informer,BioShock,
NAVGTR,BioShock
