RANK,GAME,NOTES
10,Psychonauts 2,
9,Returnal,
8,Bonfire Peaks,
7,Hitman 3,
6,Monster Hunter Rise,
5,Forza Horizon 5,
4,Dungeon Encounters,
3,Wildermyth,
2,Chicory: A Colorful Tale,
1,Deathloop,
