RANK,GAME,NOTES
25,Antichamber,
24,Dragon's Crown,
23,Shin Megami Tensei IV,
22,Metro: Last Light,
21,Animal Crossing: New Leaf,
20,Far Cry 3: Blood Dragon,
19,Pikmin 3,
18,Splinter Cell: Blacklist,
17,Injustice: Gods Among Us,
16,Tearaway,
15,Remember Me,
14,Ni no Kuni: Wrath of the White Witch,
13,Rayman Legends,
12,DmC: Devil May Cry,
11,Assassin's Creed IV: Black Flag,
10,Saint's Row IV,
9,Super Mario 3D World,
8,Pokemon X and Y,
7,Tomb Raider (2013),
6,Fire Emblem: Awakening,
5,Gone Home,
4,The Last of Us,
3,The Legend of Zelda: A Link Between Worlds,
2,Grand Theft Auto V,
1,BioShock Infinite,
