RANK,GAME,NOTES
37,Dranius,
36,Immortality,
35,Vampire Survivors,
34,Hyper Demon,
33,"Warhammer 40,000: Chaos Gate - Daemonhunters",
32,Victoria 3,
31,Metal: Hellsinger,
30,Nintendo Switch Sports,
29,Total War: Warhammer 3,
28,Patrick's Parabox,
27,Live a Live,
26,God of War: Ragnarok,
25,Neon White,
24,Kaiju Wars,
23,Prodeus,
22,Gran Turismo 7,
21,Marvel's Midnight Suns,
20,Marvel Snap,
19,Swordship,
18,Sniper Elite 5,
17,Arcade Paradise,
16,Return to Monkey Island,
15,Strange Horticulture,
14,The Excavation of Hob's Barrow,
13,Xenoblade Chronicles 3,
12,Saturnalia,
11,OlliOlli World,
10,Signalis,
9,Pentiment,
8,Roadwarden,
7,Mothmen 1966,
6,Rollerdrome,
5,Citizen Sleeper,
4,Kirby and the Forgotten Land,
3,Norco,
2,Tunic,
1,Elden Ring,
