PUBLICATION,GAME
Destructoid,Uncharted 2: Among Thieves
Giant Bomb,Uncharted 2: Among Thieves
GameTrailers,Call of Duty: Modern Warfare 2
Edge,Borderlands
Famitsu,Dragon Quest IX: Sentinels of the Starry Skies
GameSpot,Demon's Souls
IGN,Uncharted 2: Among Thieves
Golden Joystick Awards,Fallout 3
Game Developers Choice Awards,Uncharted 2: Among Thieves
Game Awards,Uncharted 2: Among Thieves
D.I.C.E. Awards,Uncharted 2: Among Thieves
BAFTA,Batman: Arkham Asylum
Japan Game Awards,Metal Gear Solid 4: Guns of the Patriots
Japan Game Awards,Mario Kart Wii
GamesRadar+,Batman: Arkham Asylum
X-Play,Uncharted 2: Among Thieves
EGM,Uncharted 2: Among Thieves
Kotaku,Uncharted 2: Among Thieves
Kotaku (Reader's Choice),Uncharted 2: Among Thieves
Eurogamer,Uncharted 2: Among Thieves
Game Informer,Uncharted 2: Among Thieves
NAVGTR,Batman: Arkham Asylum
