RANK,GAME,NOTES
50,Stuntman Ignition,
49,Tom Clancy's Ghost Recon Advanced Warfighter 2,
48,Virtual Tennis 3,
47,Sega Rally Revo,
46,Rock Band,
45,The Lord of the Rings Online: Shadows of Angmar,
44,Tomb Raider Anniversary,
43,Catan,
42,Final Fantasy Tactics,*Listed as Final Fantasy Tactics: The War of the Lions
41,Picross DS,
40,Puzzle Quest: Challenge of the Warlords,
39,Super Paper Mario,
38,Overlord,
37,SingStar (PS3),
36,Lego Star Wars: The Complete Saga,
35,Zack & Wiki: The Quest for Barbaros' Treasure,
34,Phoenix Wright: Ace Attorney Trials and Tribulations,
33,Half-Life 2: Episode Two,
32,MotorStorm,
31,Guitar Hero III,
30,Assassin's Creed,
29,God Hand,
28,Trauma Center: Second Opinion,
27,God of War II,
26,Ratchet & Clank: Tools of Destruction,
25,Bladestorm,
24,Crysis,
23,The Darkness,
22,World in Conflict,
21,World of Warcraft: The Burning Crusade,
20,Earth Defense Force 2017,
19,Skate,
18,Metroid Prime 3: Corruption,
17,Project Gotham Racing 4,
16,Puzzle Series Vol. 5: Slitherlink,
15,Okami,
14,Uncharted: Drake's Fortune,
13,Final Fantasy XII,
12,Peggle,*Listed as Peggle Deluxe
11,Pac-Man: Championship Edition,
10,S.T.A.L.K.E.R.: Shadow of Chernobyl,
9,Team Fortress 2,
8,Mass Effect,
7,Halo 3,
6,Call of Duty 4: Modern Warfare,
5,The Legend of Zelda: Phantom Hourglass,
4,Crackdown,
3,BioShock,
2,Super Mario Galaxy,
1,Portal,
