RANK,GAME,NOTES
20,Fate of the World,
19,Dance Central 2,
18,Saints Row: The Third,
17,Call of Duty: Modern Warfare 3,
16,Yakuza 4,
15,Super Mario 3D Land,
14,"Warhammer 40,000: Space Marine",
13,Battlefield 3,
12,Uncharted 3: Drake's Deception,
11,The Legend of Zelda: Skyward Sword,
10,The Binding of Isaac,
9,Deus Ex: Human Revolution,
8,Batman: Arkham City,
7,Minecraft,
6,Shadows of the Damned,
5,Dark Souls,
4,The Elder Scrolls V: Skyrim,
3,El Shaddai: Ascension of the Metatron,
2,Portal 2,
1,Bastion,
