RANK,GAME,NOTES
10,Axiom Verge,
9,Bloodborne,
8,Batman: Arkham Knight,
7,Fallout 4,
6,Super Mario Maker,
5,Tales from the Borderlands,
4,Rise of the Tomb Raider,
3,Her Story,
2,Splatoon,
1,Metal Gear Solid V: The Phantom Pain,
