PUBLICATION,GAME
Game Awards,Elden Ring
Golden Joystick Awards,Elden Ring
Japan Game Awards,Elden Ring
GamesRadar,Elden Ring
Destructoid,Elden Ring
D.I.C.E. Awards,Elden Ring
Famitsu,Elden Ring
Game Developers Choice Awards,Elden Ring
New York Game Awards,Elden Ring
Easy Allies,Elden Ring
