RANK,GAME,NOTES
10,Violet,
9,No More Heroes,
8,The World Ends With You,
7,Oligarchy,
6,Gears of War 2,*Tied with Resistance 2
6,Resistance 2,*Tied with Gears of War 2
5,Far Cry 2,
4,Grand Theft Auto IV,
3,Professor Layton and the Curious Village,
2,Little Big Planet,
1,World of Goo,
