PUBLICATION,GAME
IGN,The Legend of Zelda: Breath of the Wild
Game Awards,The Legend of Zelda: Breath of the Wild
BAFTA,What Remains of Edith Finch
Czech Game of the Year Awards,Attentat 1942
D.I.C.E. Awards,The Legend of Zelda: Breath of the Wild
Game Developers Choice Awards,The Legend of Zelda: Breath of the Wild
Golden Joystick Awards,The Legend of Zelda: Breath of the Wild
Japan Game Awards,The Legend of Zelda: Breath of the Wild
SXSW Gaming Awards,The Legend of Zelda: Breath of the Wild
Famitsu,The Legend of Zelda: Breath of the Wild
Famitsu,Dragon Quest XI: Echoes of an Elusive Age
Game Informer,The Legend of Zelda: Breath of the Wild
Destructoid,The Legend of Zelda: Breath of the Wild
Edge,The Legend of Zelda: Breath of the Wild
Easy Allies,The Legend of Zelda: Breath of the Wild
Giant Bomb,PlayerUnknown's Battlegrounds
GameSpot,The Legend of Zelda: Breath of the Wild
GamesRadar+,The Legend of Zelda: Breath of the Wild
Forbes,The Legend of Zelda: Breath of the Wild
NAVGTR,Super Mario Odyssey
New York Game Awards,The Legend of Zelda: Breath of the Wild
