RANK,GAME,NOTES
25,Child of Light,
24,Captain Toad: Treasure Tracker,
23,The Wolf Among Us,
22,Persona Q: Shadow of the Labyrinth,
21,Wolfenstein: The New Order,
20,Shovel Knight,
19,Super Time Force,
18,Hearthstone,
17,Bravely Default,
16,Towerfall Ascension,
15,Danganronpa 2: Goodbye Despair,
14,Valiant Hearts: The Great War,
13,Infamous Second Son,
12,Far Cry 4,
11,Call of Duty: Advanced Warfare,
10,Bayonetta 2,
9,Transistor,
8,Titanfall,
7,Alien: Isolation,
6,Sunset Overdrive,
5,South Park: The Stick of Truth,
4,Donkey Kong Country: Tropical Freeze,
3,Shadow of Mordor,
2,Super Smash Bros. for Wii U,
1,Dragon Age: Inquisition,
