PUBLICATION,GAME
VSDA Awards,Pac-Man
Golden Joystick Awards,Jetpac
Electronic Gaming Awards,Pole Position
Electronic Gaming Awards,Q*bert
Electronic Gaming Awards,Ms. Pac-Man
Electronic Gaming Awards,Lady Bug
Electronic Gaming Awards,Lode Runner
