RANK,GAME,NOTES
50,Ni No Kuni 2: Revenant Kingdom,
49,Captain Toad: Treasure Tracker,
48,Lumines,*Remastered
47,Frostpunk,
46,Octopath Traveler,
45,My Child Lebensborn,
44,Mario Tennis Aces,
43,The Messenger,
42,Fallout 76,
41,Dragon Ball FighterZ,
40,Wreckfest,
39,Nintendo Labo,
38,The Gardens Between,
37,Call of Duty: Black Ops 4,
36,World of Warcraft: Battle for Azeroth,
35,A Case of Distrust,
34,Moonlighter,
33,Donut County,
32,"Pokemon Let's Go Pikachu and Eevee",
31,The Red Strings Club,
30,Dragon Quest XI: Echoes of an Elusive Age,
29,Shadow of the Colossus,*Listed as Shadow of the Colossus (Remaster)
28,Gris,
27,Pillars of Eternity 2: Deadfire,
26,Subnautica,
25,Forza Horizon 4,
24,Dead Cells,
23,Hitman 2,
22,A Way Out,
21,No Man's Sky,*Listed as No Man's Sky Next
20,Prey: Mooncrash,
19,Destiny 2: Forsaken,
18,Moss,
17,Astro Bot Rescue Mission,
16,Sea of Thieves,
15,Minit,
14,Battletech,
13,Fortnite,
12,Super Smash Bros. Ultimate,
11,Hollow Knight,
10,Assassin's Creed Odyssey,
9,Marvel's Spider-Man,
8,Monster Hunter: World,
7,Into the Breach,
6,Red Dead Redemption 2,
5,Celeste,
4,Tetris Effect,
3,Florence,
2,Return of the Obra Dinn,
1,God of War (2018),
