RANK,GAME,
10,Tony Hawk's Pro Skater,*Listed as Tony Hawk's Pro Skater 1 + 2
10,Tony Hawk's Pro Skater 2,*Listed as Tony Hawk's Pro Skater 1 + 2
9,Fall Guys,
8,Microsoft Flight Simulator (2020),
7,Call of Duty: Warzone,
6,Ori and the Will of the Wisps,
5,Animal Crossing: New Horizons,
4,Among Us,
3,The Last of Us Part II,
2,Spider-Man: Miles Morales,
1,Hades,
