RANK,GAME,NOTES
25,Metro: Last Light,
24,Towerfall Ascension,*Listed as Towerfall
23,Hate Plus,
22,Bit.Trip Presentrs Runner 2: Future Legend of Rhythm Alien,
21,Castles in the Sky,
20,Proteus,
19,Pokemon X and Y,
18,"Papers, Please",
17,Rogue Legacy,
16,The Swapper,
15,Antichamber,
14,Tomb Raider (2013),
13,Pikmin 3,
12,The Legend of Zelda: A Link Between Worlds,
11,Depression Quest,
10,The Last of Us,
9,Assassin's Creed IV: Black Flag,
8,Tearaway,
7,Saints Row IV,
6,Super Mario 3D World,
5,Animal Crossing: New Leaf,
4,Kentucky Route Zero,
3,Rayman Legends,
2,The Stanley Parable,
1,Gone Home,
