RANK,GAME,NOTES
10,Dark Souls,
9,Portal 2,
8,Battlefield 3,
7,Total War: Shogun 2,
6,Mortal Kombat (2011),
5,Gears of War 3,
4,L.A. Noire,
3,Call of Duty: Modern Warfare 3,
2,Batman: Arkham City,
1,The Elder Scrolls V: Skyrim,
