PUBLICATION,GAME
BAFTA,Halo: Combat Evolved
BAFTA,SMS Chess
BAFTA,Neverwinter Nights
D.I.C.E. Awards,Battlefield 1942
Game Developers Choice Awards,Metroid Prime
Golden Joystick Awards,Grand Theft Auto III
Japan Game Awards,Final Fantasy X
Edge,Metroid Prime
IGN,Battlefield 1942
GameSpot,Metroid Prime
EGM,Metroid Prime
NAVGTR,Grand Theft Auto: Vice City
ArsTechnica,The Elder Scrolls III: Morrowind
