RANK,GAME,NOTES
10,Loop Hero,
9,Everhood,
8,Marvel's Guardians of the Galaxy,
7,Deathloop,
6,It Takes Two,
5,Forza Horizon 5,
4,Psychonauts 2,
3,Resident Evil Village,
2,Metroid Dread,
1,Ratchet & Clank: Rift Apart,
