RANK,GAME,
15,Wave Race 64,
14,Sonic 3D Blast,
13,Donkey Kong Country 3,
12,Virtua Cop 2,
11,Fade to Black,
10,NFL Gameday '97,
10,Madden NFL 97,
9,Twisted Metal 2,
8,Crash Bandicoot,
7,Tetris Attack,
6,NBA Hangtime,
5,Mortal Kombat 3,*MK Trilogy
4,Resident Evil,
3,Final Doom,
2,Star Wars: Shadows of the Empire,
1,Super Mario 64,
