PUBLICATION,GAME,NOTES
EGM,Samurai Shodown,
Game Informer,Mortal Kombat,
Electronic Gaming Awards,Street Fighter II,*Listed as Street Fighter II: Turbo
Electronic Gaming Awards,Mortal Kombat,
Electronic Gaming Awards,Aladdin (Genesis),
Electronic Gaming Awards,Sonic Spinball,
Electronic Gaming Awards,Bubsy in: Claws Encounters of the Furred Kind,
Electronic Gaming Awards,Rock & Roll Racing,
