RANK,GAME
10,Immortals Fenyx Rising
9,Final Fantasy VII Remake
8,Half-Life: Alyx
7,Assassin's Creed: Valhalla
6,Animal Crossing: New Horizons
5,Ori and the Will of the Wisps
4,Yakuza: Like a Dragon
3,Ghost of Tsushima
2,Hades
1,The Last of Us Part II
