PUBLICATION,GAME
BAFTA,The Legend of Zelda: Ocarina of Time
D.I.C.E. Awards,The Sims
Japan Game Awards,Doko Demo Issyo
Japan Game Awards,Final Fantasy VIII
VSDA Awards,The Legend of Zelda: Ocarina of Time
GameSpot,SoulCalibur
GameSpot,EverQuest
EGM,SoulCalibur
Game Informer,Tony Hawk's Pro Skater
ArsTechnica,System Shock 2
