RANK,GAME,NOTES
30,It Takes Two,
29,Olija,
28,Valheim,
27,The Great Ace Attorney Chronicles,
26,The Vale: Shadow of the Crown,
25,Lost in Random,
24,New Pokemon Snap,
23,Super Mario 3D World,*Listed as Super Mario 3D World + Bowser’s Fury
23,Bowser’s Fury,*Listed as Super Mario 3D World + Bowser’s Fury
22,Mundaun,
21,Knockout City,
20,Black Book,
19,Chicory: A Colorful Tale,
18,Shin Megami Tensei 5,
17,Dungeon Encounters,
16,Age of Empires 4,
15,Unsighted,
14,Resident Evil Village,
13,Hitman 3,
12,Before Your Eyes,
11,Deathloop,
10,Loop Hero,
9,Genesis Noir,
8,Monster Hunter Rise,
7,Wildermyth,
6,Forza Horizon 5,
5,Sable,
4,Death's Door,
3,Metroid Dread,
2,Psychonauts 2,
1,Ratchet & Clank: Rift Apart,
