RANK,GAME
20,Cuphead
19,Statik: Institute of Retention
18,Rime
17,Night in the Woods
16,Destiny 2
15,Nioh
14,Pyre
13,Fidel
12,What Remains of Edith Finch
11,Heat Signature
10,Sonic Mania
9,Persona 5
8,Resident Evil 7
7,Yakuza 0
6,PlayerUnknown's Battlegrounds
5,Divinity: Original Sin II
4,The Legend of Zelda: Breath of the Wild
3,Nier: Automata
2,Horizon: Zero Dawn
1,Super Mario Odyssey
