RANK,GAME,NOTES
25,Corpse Party,
24,Battlefield 3,
23,Saints Row: The Third,
22,Persona 2: Innocent Sin,
21,Infamous 2,
20,Mario Kart 7,
19,Dead Space 2,
18,Deus Ex: Human Revolution,
17,Mortal Kombat (2011),
16,Payday: The Heist,
15,Assassin's Creed: Revelations,
14,Catherine,
13,Call of Duty: Modern Warfare 3,
12,The Legend of Zelda: Skyward Sword,
11,Uncharted 3: Drake's Deception,
10,Portal 2,
9,RAGE,
8,Dead Island,
7,Bastion,
6,L.A. Noire,
5,Rayman: Origins,
4,Gears of War 3,
3,Dark Souls,
2,Batman: Arkham City,
1,The Elder Scrolls V: Skyrim,
