RANK,GAME,NOTES
50,Call of Cthulhu: Dark Corners of the Earth,
49,SingStar 80s,
48,Project Gotham Racing 3,
47,Space Rangers,
46,Lego Star Wars,
45,Wipeout Pure,
44,Kirby: Canvas Curse,
43,The Warriors,
42,Killer7,
41,Castlevania: Dawn of Sorrow,
40,Trackmania Sunrise,
39,Ridge Racer (PSP),
38,Virtua Tennis World Tour,
37,Advance Wars: Dual Strike,
36,Call of Duty 2,
35,SoulCalibur III,
34,Everybody's Golf,
33,Peter Jackson's King Kong,
32,Boiling Point,
31,Fire Emblem: Path of Radiance,
30,Incredible Hulk: Ultimate Destruction,
29,The Legend of Zelda: Four Swords Adventures,
28,SWAT 4,
27,Burnout Revenge,
26,Warioware: Twisted!,
25,Pro Evolution Soccer 5,
24,Guild Wars,
23,Meteos,
22,The Movies,
21,Nintendogs,
20,Brothers in Arms: Earned in Blood,
19,Prince of Persia: The Two Thrones,
18,Phoenix Wright: Ace Attorney,
17,F.E.A.R.,
16,Osu! Tatakae! Ouendan,
15,Lumines,
14,Mario & Luigi: Partners in Time,
13,World of Warcraft,
12,Battlefield 2,
11,We Love Katamari,
10,City of Heroes,*Listed as City of Heroes/Villains
10,City of Villains,*Listed as City of Heroes/Villains
9,Indigo Prophecy,*Listed as Farenheit
8,Zoo Keeper,
7,Mario Kart DS,
6,Sid Meier's Civilization IV,
5,God of War,
4,Darwinia,
3,Shadow of the Colossus,
2,Resident Evil 4,
1,Psychonauts,
