PUBLICATION,GAME
BAFTA,Call of Duty
X-Play,Star Wars: Knights of the Old Republic
IGN,Star Wars: Knights of the Old Republic
GameSpot,The Legend of Zelda: The Wind Waker
Japan Game Awards,Final Fantasy XI
Japan Game Awards,Taiko no Tatsujin
Golden Joystick Awards,Grand Theft Auto: Vice City
Game Developer's Choice Awards,Star Wars: Knights of the Old Republic
Game Awards,Madden NFL 2004
D.I.C.E. Awards,Call of Duty
EGM,Prince of Persia: Sands of Time
ArsTechnica,Star Wars: Knights of the Old Republic
Game Informer,The Legend of Zelda: The Wind Waker
NAVGTR,Prince of Persia: Sands of Time
