RANK,GAME,NOTES
25,Metro: Last Light,
24,Splinter Cell: Blacklist,
23,Scribblenauts Unmasked: A DC Comics Adventure,
22,Dragon's Crown,
21,Tomb Raider (2013),
20,Rayman Legends,
19,Pikmin 3,
18,Metal Gear Rising: Revengeance,
17,Beyond: Two Souls,
16,Assassin's Creed IV: Black Flag,
15,The Stanley Parable,
14,Pokemon X and Y,
13,Dead Rising 3,
12,Saints Row IV,
11,Fire Emblem: Awakening,
10,Ni no Kuni: Wrath of the White Witch,
9,Final Fantasy XIV,*A Realm Reborn
8,DmC: Devil May Cry,
7,Antichamber,
6,Gone Home,
5,The Last of Us,
4,The Legend of Zelda: A Link Between Worlds,
3,Super Mario 3D World,
2,BioShock Infinite,
1,Grand Theft Auto V,
