PUBLICATION,GAME
BAFTA,Tom Clancy's Ghost Recon Advanced Warfighter
D.I.C.E. Awards,Gears of War
Game Awards,The Elder Scrolls IV: Oblivion
Game Developers Choice Awards,Gears of War
Golden Joystick Awards,The Elder Scrolls IV: Oblivion
Japan Game Awards,Final Fantasy XII
Japan Game Awards,Brain Age: Train Your Brain in Minutes a Day!
GameTrailers,The Legend of Zelda: Twilight Princess
Edge,Final Fantasy XII
Famitsu,Final Fantasy XII
Famitsu,Pokemon Diamond and Pearl
GamesRadar+,The Legend of Zelda: Twilight Princess
GameSpot,Gears of War
IGN,Okami
X-Play,The Legend of Zelda: Twilight Princess
EGM,The Legend of Zelda: Twilight Princess
Shack News,The Elder Scrolls IV: Oblivion
NAVGTR,Okami
ArsTechnica,Wii Sports
Game Informer,The Legend of Zelda: Twilight Princess
NAVGTR,Okami
