PUBLICATION,GAME
BAFTA,GoldenEye 007
D.I.C.E. Awards,The Legend of Zelda: Ocarina of Time
Japan Game Awards,The Legend of Zelda: Ocarina of Time
VSDA Awards,GoldenEye 007
Edge,The Legend of Zelda: Ocarina of Time
GameSpot,The Legend of Zelda: Ocarina of Time
GameSpot,Grim Fandango
EGM,The Legend of Zelda: Ocarina of Time
Game Informer,The Legend of Zelda: Ocarina of Time
ArsTechnica,StarCraft
ArsTechnica,StarCraft Broodwar
Japan Media Arts Festival,The Legend of Zelda: Ocarina of Time
