PUBLICATION,GAME
Game Awards ,The Witcher 3: Wild Hunt
BAFTA,Fallout 4
Czech Game of the Year Awards,Factorio
Czech Game of the Year Awards,Rememoried
Czech Game of the Year Awards,Czechoslovakia 1938-89: The Assassination
D.I.C.E. Awards,Fallout 4
Game Developers Choice Awards,The Witcher 3: Wild Hunt
Golden Joystick Awards,The Witcher 3: Wild Hunt
Japan Game Awards,Yo-kai Watch 2
SXSW Gaming Awards,The Witcher 3: Wild Hunt
Famitsu,Splatoon
Destructoid,Bloodborne
GameTrailers,Bloodborne
Giant Bomb,Super Mario Maker
Edge,Bloodborne
IGN,The Witcher 3: Wild Hunt
Game Informer,The Witcher 3: Wild Hunt
Time,Prune
UsGamer,Super Mario Maker
NAVGTR,The Witcher 3: Wild Hunt
New York Game Awards,The Witcher 3: Wild Hunt
