RANK,GAME
10,Nier: Automata
9,What Remains of Edith Finch
8,Hellblade: Senua's Sacrifice
7,Wolfenstein 2: The New Colossus
6,Horizon: Zero Dawn
5,Divinity: Original Sin II
4,Resident Evil 7
3,Super Mario Odyssey
2,Persona 5
1,The Legend of Zelda: Breath of the Wild
