PUBLICATION,GAME
EGM,Street Fighter II
Game Informer,Street Fighter II
Golden Joystick Awards,Street Fighter II
Electronic Gaming Awards,Street Fighter II
Electronic Gaming Awards,NHLPA Hockey '93
Electronic Gaming Awards,Sonic the Hedgehog 2
