PUBLICATION,GAME
BAFTA,Half-Life 2
D.I.C.E. Awards,Half-Life 2
Game Awards,Grand Theft Auto: San Andreas
Game Developers Choice Awards,Half-Life 2
Golden Joystick Awards,Doom 3
Japan Game Awards,Monster Hunter
Edge,Half-Life 2
GameSpot,World of Warcraft
IGN,Half-Life 2
Famitsu,Monster Hunter
X-Play,Halo 2
EGM,Halo 2
ArsTechnica,Half-Life 2
Game Informer,Halo 2
NAVGTR,Half-Life 2
