RANK,GAME,NOTES
25,Gears 5,
24,The Division 2,
23,Fire Emblem: Three Houses,
22,Borderlands 3,
21,Kingdom Hearts 3,
20,Cadence of Hyrule,
19,What the Golf?,
18,Metro Exodus,
17,Tetris 99,
16,Sekiro: Shadows Die Twice,
15,Telling Lies,
14,The Legend of Zelda: Link's Awakening (2019),
13,Days Gone,
12,Pokemon Sword and Shield,
11,Outer Wilds,
10,Luigi's Mansion 3,
9,Sayonara Wild Hearts,
8,Disco Elysium,
7,Untitled Goose Game,
6,Call of Duty: Modern Warfare,
5,Apex Legends,
4,Star Wars Jedi: Fallen Order,
3,Resident Evil 2 Remake,
2,The Outer Worlds,
1,Control,
