RANK,GAME,NOTES
10,Papers Please,
9,Assassin's Creed IV: Black Flag,*Tied with Far Cry 3: Blood Dragon
9,Far Cry 3: Blood Dragon,*Tied with Assassin's Creed IV: Black Flag
8,The Legend of Zelda: A Link Between Worlds,
7,Gone Home,
6,Tomb Raider (2013),
5,Rayman Legends,
4,Super Mario 3D World,
3,Grand Theft Auto V,
2,The Last of Us,
1,BioShock Infinite,
