RANK,GAME,NOTES
25,OlliOlli2: Welcome to Olliwood,
24,Axiom Verge,
23,Mortal Kombat X,
22,Heroes of the Storm,
21,Yoshi's Woolly World,
20,Rainbow Six Siege,
19,Batman: Arkham Knight,
18,Forza Motorsport 6,
17,Halo 5: Guardians,
16,Her Story,
15,Until Dawn,
14,Assassin's Creed: Syndicate,
13,Just Cause 3,
12,Tales from the Borderlands,
11,Super Mario Maker,
10,Rise of the Tomb Raider,
9,Ori and the Blind Forest,
8,Call of Duty: Black Ops 3,
7,Metal Gear Solid V: The Phantom Pain,
6,Splatoon,
5,Life is Strange,
4,Rocket League,
3,Bloodborne,
2,Fallout 4,
1,The Witcher 3: Wild Hunt,
