RANK,GAME,NOTES
10,Destiny 2,
9,Horizon: Zero Dawn,
8,Mario + Rabbids: Kingdom Battle,
7,PlayerUnknown's Battlegrounds,
6,Cuphead,
5,Persona 5,
4,Wolfenstein 2: The New Colossus,
3,What Remains of Edith Finch,
2,Super Mario Odyssey,
1,The Legend of Zelda: Breath of the Wild,
