RANK,GAME,NOTES
25,Forza Horizon 3,
24,Final Fantasy XV,
23,Superhot,
22,XCOM 2,
21,Dark Souls III,
20,Reigns,
19,"Small Radios, Big Televisions",
18,Hitman (2016),
17,Inside,
16,Fire Emblem Fates,
15,Uncharted 4: A Thief's End,
14,Kentucky Route Zero,*Act IV
13,Sid Meier's Civilization VI,
12,Oxenfree,
11,Hypre Light Drifter,
10,Doom (2016),
9,Titanfall 2,
8,Stardew Valley,
7,No Man's Sky,
6,Firewatch,
5,"That Dragon, Cancer",
4,Dishonored 2,
3,The Last Guardian,
2,Overwatch,
1,Thumper,
