PUBLICATION,GAME
Golden Joystick Awards,Knight Lore
Electronic Gaming Awards,Star Wars (Arcade)
Electronic Gaming Awards,Zaxxon
Electronic Gaming Awards,Space Shuttle
Electronic Gaming Awards,Ultima III: Exodus
