RANK,GAME
10,Metroid Prime
9,Kingdom Hearts
8,SOCOM: U.S. Navy SEALs
7,Super Mario Sunshine
6,Star Wars Jedi Knight II: Jedi Outcast
5,Mortal Kombat: Deadly Alliance
4,Medal of Honor: Allied Assault
3,Final Fantasy X
2,Metroid Fusion
1,Grand Theft Auto: Vice City
