RANK,GAME,NOTES
50,Immortals Fenyx Rising,
49,Final Fantasy VII Remake Intergrade,
48,Mundaun,
47,Back 4 Blood,
46,Tender: Creature Comforts,
45,Cookie Run: Kingdom,
44,The Artificial Escape,
43,No More Heroes 3,
42,Persona 5 Strikers,
41,Boyfriend Dungeon,
40,Dorfromantik,
39,Mass Effect,*Listed as Mass Effect Legendary Edition
39,Mass Effect 2,*Listed as Mass Effect Legendary Edition
39,Mass Effect 3,*Listed as Mass Effect Legendary Edition
38,Eastward,
37,The Great Ace Attorney Chronicles,
36,Nier Replicant ver.1.22474487139...,
35,Moonglow Bay,
34,Toem,
33,Returnal,
32,Genshin Impact,*Listed as Genshin Impact 2.0
31,Super Mario 3D World,*Listed as Super Mario 3D World + Bowser's Fury
31,Bowser's Fury,*Listed as Super Mario 3D World + Bowser's Fury
30,Guilty Gear Strive,
29,Loop Hero,
28,Sable,
27,The Forgotten City,
26,Animal Crossing: New Horizons,*Listed as Animal Crossing: New Horizons 2.0
25,Pokemon Unite,
24,Shin Megami Tensei 5,
23,Age of Empires 4,
22,Valheim,
21,Chivalry 2,
20,Ratchet & Clank: Rift Apart,
19,Deathloop,
18,Marvel's Guardians of the Galaxy,
17,Tales of Arise,
16,Ruined King: A League of Legends Story,
15,Overboard!,
14,Monster Hunter Rise,
13,Unpacking,
12,Forza Horizon 5,
11,Outer Wilds: Echoes of the Eye,
10,Unsighted,
9,Psychonauts 2,
8,Wildermyth,
7,Death's Door,
6,Hitman 3,
5,Resident Evil Village,
4,Metroid Dread,
3,Halo Infinite,
2,Chicory: A Colorful Tale,
1,Inscryption,
