RANK,GAME,NOTES
50,Mercury Meltdown,
49,Scarface: The World Is Yours,
48,N3: Ninety-Nine Nights,
47,Guitar Hero 2,
46,Guild Wars Nightfall,
45,Uno,
44,Daxter,
43,Steambot Chronicles,
42,Harvest Moon: Magical Melody,
41,Fight Night Round 3,
40,Animal Crossing: Wild World,
39,Yakuza,
38,Tom Clancy's Ghost Recon: Advanced Warfare,
37,Company of Heroes,
36,Rhythm Tengoku,
35,Lumines 2,
34,Kingdom Hearts II,
33,Tekken: Dark Resurrection,
32,Neverwinter Nights 2,
31,Chibi-Robo!,
30,Phoenix Wright Ace Attorney: Justice for All,
29,Hitman: Blood Money,
28,Splinter Cell: Double Agent,
27,Tony Hawk's Project 8,
26,Table Tennis,
25,42 All-Time Classics,
24,Disgaea 2: Cursed Memories,
23,Test Drive Unlimited,
22,Okami,
21,Defcon,
20,OutRun 2006: Coast 2 Coast,
19,Dragon Quest VIII: Journey of the Cursed King,
18,TOCA Race Driver 3,
17,LocoRoco,
16,New Super Mario Bros.,
15,We Love Katamari,
14,Canis Canem Edit,
13,Tomb Raider: Legend,
12,Half-Life 2: Episode One,
11,Rainbow Six Vegas,
10,Dr. Kawashima's Brain Training,
9,Wii Sports,
8,Viva Pinata,
7,Gears of War,
6,Lego Star Wars II: The Original Trilogy,
5,Dead Rising,
4,Final Fantasy XII,
3,The Legend of Zelda: Twilight Princess,
2,The Elder Scrolls IV: Oblivion,
1,Guitar Hero,
