RANK,GAME
15,Astral Chain
14,A Plague Tale: Innocence
13,The Division 2
12,Kingdom Hearts III
11,Vader Immortal
10,Cadence of Hyrule
9,Trials Rising
8,Total War: Three Kingdoms
7,Metro Exodus
6,Mortal Kombat 11
5,Apex Legends
4,Super Mario Maker 2
3,Fire Emblem: Three Houses
2,Sekiro: Shadows Die Twice
1,Resident Evil 2 Remake
