RANK,GAME,
10,Destiny 2: Forsaken,
9,Assassin's Creed Odyssey,
8,Tetris Effect,
7,Marvel's Spider-Man,
6,Florence,
5,Dark Souls,*Listed as Dark Souls (Remastered)
4,Super Smash Bros. Ultimate,
3,Shadow of the Colossus,*Listed as Shadow of the Colossus (Remaster)
2,Red Dead Redemption 2,
1,God of War (2018),
