PUBLICATION,GAME
D.I.C.E. Awards,God of War
Game Awards,Resident Evil 4
Game Developers Choice Awards,Shadow of the Colossus
Golden Joystick Awards,Grand Theft Auto: San Andreas
Japan Game Awards,Dragon Quest VIII: Journey of the Cursed King
GameTrailers,Resident Evil 4
Edge,Resident Evil 4
Famitsu,Resident Evil 4
Famitsu,Kingdom Hearts II
GameSpot,Resident Evil 4
IGN,God of War
X-Play,Resident Evil 4
EGM,Resident Evil 4
Shacknews,Battlefield 2
ArsTechnica,Shadow of the Colossus
Game Informer,Resident Evil 4
NAVGTR,Shadow of the Colossus
