RANK,GAME,NOTES
20,The Quarry,
19,Crisis Core: Final Fantasy VII Reunion,
18,"Warhammer 40,000: Chaos Gate - Daemonhunters",
17,Sifu,
16,Nintendo Switch Sports,
15,The Callisto Protocol,
14,Kirby and the Forgotten Land,
13,A Plague Tale: Requiem,
12,Total War: Warhammer 3,
11,Tunic,
10,Horizon: Forbidden West,
9,Xenoblade Chronicles 3,
8,Mario + Rabbids: Sparks of Hope,
7,Stray,
6,Pokemon Legends: Arceus,
5,Marvel's Midnight Suns,
4,The Last of Us,*Listed as The Last of Us: Part I
3,God of War: Ragnarok,
2,Immortality,
1,Elden Ring,
