PUBLICATION,GAME
Game Awards,Red Dead Redemption
BAFTA,Mass Effect 2
Czech Game of the Year Awards,Mafia II
D.I.C.E. Awards,Mass Effect 2
Game Developers Choice Awards,Red Dead Redemption
Golden Joystick Awards,Mass Effect 2
Japan Game Awards,New Super Mario Bros. Wii
Famitsu,Monster Hunter Portable 3rd
Destructoid,Super Mario Galaxy 2
GameTrailers,Mass Effect 2
Giant Bomb,Mass Effect 2
Edge,Super Mario Galaxy 2
GameSpot,Red Dead Redemption
IGN,Mass Effect 2
GamesRadar+,Red Dead Redemption
X-Play,Mass Effect 2
EGM,Red Dead Redemption
Kotaku,Red Dead Redemption
Game Informer,Red Dead Redemption
NAVGTR,Red Dead Redemption
