PUBLICATION,GAME
Golden Joystick Awards,Super Mario 64
GameSpot,Diablo
VSDA Awards,Donkey Kong Country 2
Japan Games Awards,Sakura Wars
EGM,Super Mario 64
Game Informer,Super Mario 64
