PUBLICATION,GAME
Ars Technica,Psychonauts 2
Game Awards,It Takes Two
Golden Joystick Awards,Resident Evil Village
GameSpot,Deathloop
Japan Game Awards,Ghost of Tsushima
Japan Game Awards,Monster Hunter Rise
D.I.C.E. Awards,It Takes Two
NAVGTR,Deathloop
New York Game Awards,Psychonauts 2
Easy Allies,Returnal
Destructoid,Chicory: A Colorful Tale
BAFTA,Returnal
Famitsu,Monster Hunter Rise
Game Developers Choice Awards,Inscryption
SXSW Gaming Awards,Final Fantasy XIV: Endwalker
IGN,Forza Horizon 5
