RANK,GAME,NOTES
Unranked,Baba Is You,
Unranked,Control,
Unranked,Devil May Cry 5,
Unranked,Fire Emblem: Three Houses,
Unranked,The Legend of Zelda: Link's Awakening (2019),
Unranked,Outer Wilds,
Unranked,Pokemon Sword and Shield,
Unranked,Sekiro: Shadows Die Twice,
Unranked,Telling Lies,
Unranked,Untitled Goose Game,
