PUBLICATION,GAME
Destructoid,The Walking Dead
Giant Bomb,XCOM: Enemy Unknown
GameTrailers,XCOM: Enemy Unknown
Edge,Dishonored
Famitsu,Animal Crossing: New Leaf
GameSpot,Journey
IGN,Journey
Golden Joystick Awards,The Elder Scrolls V: Skyrim
Game Developers Choice Awards,Journey
Game Awards,The Walking Dead
D.I.C.E. Awards,Journey
BAFTA,Dishonored
Japan Game Awards,Gravity Rush
Japan Game Awards,JoJo's Bizarre Adventure: All Star Battle
GamesRadar+,The Walking Dead
X-Play,Borderlands 2
Game Informer,Mass Effect 3
HardcoreGamer,Far Cry 3
NAVGTR,Journey
New York Game Awards,The Walking Dead
