RANK,GAME,NOTES
50,The Legend of Zelda: Majora's Mask 3D,
49,Heroes of the Storm,
48,Sunless Sea,
47,Final Fantasy XIV: Heavensward,
46,Call of Duty: Black Ops 3,
45,Yakuza 5,
44,DriveClub Bikes,
43,Pro Evolution Soccer 2016,
42,Kerbal Space Program,
41,"Invisible, Inc",
40,Yoshi's Woolly World,
39,StarCraft II: Legacy of the Void,
38,Her Story,
37,Just Cause 3,
36,Elite: Dangerous,*Xbox One
35,Captain Toad: Treasure Tracker,
34,SOMA,
33,Forza Motorsport 6,
32,Everybody's Gone to the Rapture,
31,Monster Hunter 4 Ultimate,
30,Rainbow Six Siege,
29,Divinity: Original Sin,*Enhanced Edition
28,Assassin's Creed: Syndicate,
27,Uncharted: Drake's Fortune,*As part of the Nathan Drake Collection
27,Uncharted 2: Among Thieves,*As part of the Nathan Drake Collection
27,Uncharted 3: Drake's Deception,*As part of the Nathan Drake Collection
26,Cities: Skylines,
25,Mad Max,
24,Project CARS,
23,Dirt Rally,
22,Dark Souls II: Scholar of the First Sin,
21,Star Wars Battlefront (2015),
20,Ori and the Blind Forest,
19,Pillars of Eternity,
18,Undertale,
17,Tales from the Borderlands,
16,Halo 5: Guardians,
15,Dying Light,
14,Unti Dawn,
13,Grand Theft Auto V,*PC
12,Rise of the Tomb Raider,
11,Destiny: The Taken King,
10,Super Mario Maker,
9,Batman: Arkham Knight,
8,Xenoblade Chronicles X,
7,Rocket League,
6,Splatoon,
5,Life is Strange,
4,Metal Gear Solid V: The Phantom Pain,
3,Fallout 4,
2,Bloodborne,
1,The Witcher 3: Wild Hunt,
