RANK,GAME
10,Banjo-Kazooie
9,Pokemon Red and Blue
8,The Legend of Zelda: Ocarina of Time
7,Turok 2: Seeds of Evil
6,Crash Bandicoot: Warped
5,Oddworld: Abe's Exoddus
4,Half-Life
3,Grim Fandango
2,Metal Gear Solid
1,Panzer Dragoon Saga
