RANK,GAME,NOTES
50,Rhythm Tengoku,
49,Mario & Luigi: Partners in Time,
48,Tony Hawk's Project 8,
47,"Warhammer 40,000: Dawn of War - Dark Crusade",
46,GTR2 - FIA GT Racing Game,
45,Dr. Kawashima's Brain Training,
44,Sam & Max Episode 1: Culture Shock,
43,World of Warcraft,
42,Dreamfall: The Longest Journey,
41,Guild Wars Nightfall,
40,Test Drive Unlimited,
39,Dark Messiah of Might & Magic,
38,Project Gotham Racing 3,
37,Metal Gear Solid 3: Snake Eater,*Listed as Subsistence
36,Football Manager 2007,
35,Tomb Raider: Legend,
34,Prey,
33,Kingdom Hearts II,
32,Need for Speed: Carbon,
31,FlatOut 2,
30,Splinter Cell: Double Agent,
29,LocoRoco,
28,Lego Star Wars II: The Original Trilogy,
27,We Love Katamari,
26,Hitman: Blood Money,
25,Animal Crossing: Wild World,
24,Psychonauts,
23,Medieval 2: Total War,
22,Neverwinter Nights 2,
21,Canis Canem Edit,
20,Phenoix Wright Ace Attorney: Justice for All,
19,Tom Clancy's Ghost Recon: Advanced Warfighter,
18,Battlefield 1942,
17,Guitar Hero 2,
16,Final Fantasy XII,
15,Dragon Quest VIII: Journey of the Cursed King,
14,Okami,
13,Rainbow Six Vegas,
12,Guitar Hero,
11,Viva Pinata,
10,New Super Mario Bros.,
9,Half-Life 2: Episode One,
8,Pro Evolution Soccer 6,
7,Dead Rising,
6,Company of Heroes,
5,Wii Sports,
4,Shadow of the Colossus,
3,The Elder Scrolls IV: Oblivion,
2,Gears of War,
1,The Legend of Zelda: Twilight Princess,
