RANK,GAME,NOTES
11,Chip 'n Dale Rescue Rangers,
10,Gargoyle's Quest,
9,ActRaiser,
8,The Secret of Monkey Island,
7,StarTropics,
6,Metal Gear 2: Solid Snake,
5,Castle of Illusion Starring Mickey Mouse,
4,F-Zero,
3,Dragon Quest IV,
2,Mega Man 3,
1,Super Mario World,
