RANK,GAME
10,Planescape Torment
9,Legacyof Kain: Soul Reaver
8,Unreal Tournament
7,Homeworld
6,Age of Empires II: The Age of Kings
5,System Shock 2
4,Street Fighter Alpha 3
3,Gran Turismo 2
2,Tony Hawk's Pro Skater
1,SoulCalibur
