RANK,GAME
10,Sonic Adventure
9,Age of Empires II: The Age of Kings
8,Counter-Strike
7,Planescape Torment
6,System Shock 2
5,Silent Hill
4,SoulCalibur
3,Spyro 2: Ripto's Rage
2,Shenmue
1,Suikoden II
