RANK,GAME,NOTES
49,Crysis Warhead,
48,Ninja Gaiden II (2008),
47,Banjo-Kazooie: Nuts & Bolts,
46,God of War: Chains of Olympus,
45,MotorStorm: Pacific Rift,
44,Prince of Persia (2008),
43,Tom Clancy's Rainbow Six: Vegas 2,
42,No More Heroes,
41,The World Ends With You,
40,Rez,*Listed as Rez HD
39,Sid Meier's Civilization Revolution,
38,Football Manager 2009,
37,Guitar Hero: World Tour,
36,Race Driver: GRID,
35,Okami,
34,BioShock,
33,The Witcher,*Enhanced Edition
32,Team Fortress 2,
31,Battlefield: Bad Company,
30,Lost Odyssey,
29,Super Smash Bros. Brawl,
28,Resistance 2,
27,World of Goo,
26,Mass Effect,
25,Valkyria Chronicles,
24,Geometry Wars Retro Evolved 2,
23,Saints Row 2,
22,Shin Megami Tensei: Persona 3,"*Included Persona 3 FES at 34 and Persona 3 at 48, but comments in article stated that combined, it would be pushed to 22"
21,World of Warcraft: Wrath of the Lich King,
20,Wipeout HD,
19,Far Cry 2,
18,Rock Band,
17,Mirror's Edge,
16,Call of Duty: World At War,
15,Mario Kart Wii,
14,Professor Layton and the Curious Viilage,
13,Rock Band 2,
12,Portal,
11,FIFA 09,
10,Dead Space,
9,Burnout Paradise,
8,Braid,
7,Left 4 Dead,
6,Fable II,
5,Little Big Planet,
4,Metal Gear Solid 4: Guns of the Patriots,
3,Gears of War 2,
2,Grand Theft Auto IV,
1,Fallout 3,
