RANK,GAME
10,Duke Nukem 3D
9,Tetris Attack
8,Super Mario RPG: Legend of the Seven Stars
7,Resident Evil
6,Metal Slug
5,Quake
4,Phantasmagoria
3,Nights Into Dreams
2,Super Mario 64
1,Civilization II
